bench,bench_id,tw_id,cosine
tb2,caffe-cifar-10,tw_296449,0.4312
tb2,caffe-cifar-10,tw_481400,0.4291
tb2,caffe-cifar-10,tw_366394,0.4234
tb2,caffe-cifar-10,tw_17238,0.4232
tb2,caffe-cifar-10,tw_100297,0.4228
tb2,caffe-cifar-10,tw_170353,0.4187
tb2,caffe-cifar-10,tw_483618,0.4172
tb2,caffe-cifar-10,tw_131343,0.4168
tb2,caffe-cifar-10,tw_495570,0.4120
tb2,cancel-async-tasks,tw_315534,0.3997
tb2,cancel-async-tasks,tw_12866,0.3733
tb2,cancel-async-tasks,tw_524097,0.3709
tb2,cancel-async-tasks,tw_18325,0.3532
tb2,cancel-async-tasks,tw_454290,0.3521
tb2,cancel-async-tasks,tw_368346,0.3459
tb2,cancel-async-tasks,tw_196065,0.3331
tb2,cancel-async-tasks,tw_47866,0.3130
tb2,cancel-async-tasks,tw_202027,0.3062
tb2,cancel-async-tasks,tw_452383,0.3028
tb2,cancel-async-tasks,tw_356628,0.2943
tb2,cancel-async-tasks,tw_380790,0.2936
tb2,cancel-async-tasks,tw_532786,0.2858
tb2,cancel-async-tasks,tw_132235,0.2832
tb2,cancel-async-tasks,tw_39289,0.2632
tb2,cancel-async-tasks,tw_532765,0.2501
tb2,cancel-async-tasks,tw_533619,0.2496
tb2,cancel-async-tasks,tw_229404,0.2480
tb2,cancel-async-tasks,tw_437133,0.2468
tb2,cancel-async-tasks,tw_479208,0.2463
tb2,chess-best-move,tw_753473,0.4210
tb2,chess-best-move,tw_91304,0.4208
tb2,chess-best-move,tw_372371,0.4185
tb2,chess-best-move,tw_4289,0.3941
tb2,chess-best-move,tw_34690,0.3865
tb2,chess-best-move,tw_380588,0.3804
tb2,chess-best-move,tw_757069,0.3779
tb2,chess-best-move,tw_380466,0.3710
tb2,chess-best-move,tw_240515,0.3257
tb2,chess-best-move,tw_17667,0.3238
tb2,chess-best-move,tw_238989,0.3238
tb2,chess-best-move,tw_124734,0.3145
tb2,chess-best-move,tw_645040,0.3119
tb2,chess-best-move,tw_644384,0.3072
tb2,chess-best-move,tw_615831,0.3070
tb2,chess-best-move,tw_609101,0.3045
tb2,chess-best-move,tw_613847,0.3020
tb2,chess-best-move,tw_474880,0.2992
tb2,chess-best-move,tw_185583,0.2991
tb2,chess-best-move,tw_474817,0.2986
tb2,circuit-fibsqrt,tw_713358,0.5785
tb2,circuit-fibsqrt,tw_346220,0.5673
tb2,circuit-fibsqrt,tw_679898,0.5592
tb2,circuit-fibsqrt,tw_730164,0.5522
tb2,circuit-fibsqrt,tw_138882,0.5123
tb2,circuit-fibsqrt,tw_714649,0.5028
tb2,circuit-fibsqrt,tw_143212,0.4916
tb2,circuit-fibsqrt,tw_37261,0.4903
tb2,circuit-fibsqrt,tw_177994,0.4877
tb2,circuit-fibsqrt,tw_12180,0.4845
tb2,circuit-fibsqrt,tw_713454,0.4773
tb2,circuit-fibsqrt,tw_383893,0.4754
tb2,circuit-fibsqrt,tw_713442,0.4713
tb2,circuit-fibsqrt,tw_532828,0.4623
tb2,circuit-fibsqrt,tw_615831,0.4605
tb2,circuit-fibsqrt,tw_690723,0.4596
tb2,circuit-fibsqrt,tw_694456,0.4547
